Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
43828,231,637000,1733047,151000,728668,456600,253.1,78470975,434480,44205,376860,3620,154,119,0,0,0,0,1,0,1,1,狩野英孝,【#55】EIKOがデッドバイデイライトを生配信！【ゲーム実況】,https://www.youtube.com/watch?v=4tjC5YG2q_w
43311,246,552000,2245153,363000,63191,6274000,96.8,56479784,434,44220,686370,24000,184,1704,3,0,0,0,0,1,1,0,中町綾,【ナイトルーティーン】いい女はこうして作られる。,https://www.youtube.com/watch?v=nqos4FhbGkc
42674,105,635000,3067125,288000,754463,178200,25.8,58493768,534,44178,106112,3300,34,229,0,0,0,0,1,1,1,0,大関れいか,ウチらは1人じゃないし生きる価値って意外と単純だよね,https://www.youtube.com/watch?v=ckcAHKQ0zEM
42364,280,412000,7448719,124000,125881,15100,57,116865776,632,43846,181948,1865,1625,197,0,0,1,0,0,1,1,0,かねこあや,さ?て、先週のあやちゃんは?？,https://www.youtube.com/watch?v=NhL7X6ICL08
43048,345,1100000,6154963,243000,202079,200100,113.8,234519141,687,43328,6165579,130000,2627,8429,0,0,1,0,1,1,1,0,nanako,【完全版】至近距離でも！私の３年間バレなかったアイプチのやり方！悩んでる人、食い込まない人必見！アイメイクにも響かない！【おすすめのアイプチ】,https://www.youtube.com/watch?v=R8WXZUVxa5U
43207,71,750000,4445287,608000,921727,5000,27.3,66951497,348,44200,307858,5621,472,302,0,0,1,0,0,1,1,0,フワちゃん,カバンの中身を抜き打ちチェックしたらヤバすぎたフワちゃん,https://www.youtube.com/watch?v=lyt_IJtkpIc
42850,438,434000,1619897,601000,413279,441100,122.5,68836957,613,43349,807040,10000,244,634,0,1,0,0,1,1,1,0,佐藤ノア,みっき～さんにメイクしてもらいました。ONE-SHOT,https://www.youtube.com/watch?v=wvX-1Z9aVe8&t=187s
43860,41,1160000,6522906,2810000,91268,5000,50.9,5593732,499,44213,467634,8934,137,812,3,0,0,0,1,1,1,1,川口春奈,人生初のバッセンでまさかの出来事が！ 調子に乗りすぎました…,https://www.youtube.com/watch?v=eUc2Cx9dK1I
43629,500,1110000,3356488,5000,39763,5000,347.6,241175218,989,43864,3362889,27000,1081,1712,3,0,0,0,1,0,2,1,霜降り,【突撃】せいや宅押しかけたら何の料理ふるまってくれるのか？【霜降り明星】,https://www.youtube.com/watch?v=2cHoJwVYj6I
41941,1643,903000,8753530,22000,89125,5571,270.9,487614565,487,43873,2183658,33000,563,3845,0,0,1,0,1,0,2,1,ジャルジャル,『明るいけど、ほんまは暗い奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,https://www.youtube.com/watch?v=HaAg4xwdaOM
